Name,Description
Abacavir,"Antiretroviral agent, prescribed for HIV-1/AIDS along with other medications."
Lamivudine,"Contains antiretroviral agents, prescribed for HIV-1 infection. It blocks HIV reproduction"
Zidovudine,"Contains a nucleoside reverse transcriptase inhibitor (NRTI), prescribed for HIV-1 infection. It works by preventing human immunodeficiency virus (HIV) cells multiplication in your body."
Abarelix,"Its a gonadotropin releasing-hormone (GnRH) antagonist, prescribed for prostate cancer (to treat it partially).It reduces testosterone (hormone) level in your body, which involves in the growth of most prostate cancers"
Abatacept,"This medication is a synthetic protein, prescribed for adult with moderate to severe rheumatoid arthritis including patients who have not responded to DMARDs (disease-modifying anti-rheumatic drugs), and juvenile idiopathic arthritis. It blocks the activity of T-cells, which causes swelling and joint damage in people with arthritis condition"
Abciximab,This medication is an antithrombolytic agent (blood thinner) which is used to prevent blood clots during certain procedures used to open up the blood vessels in the heart 
Abiraterone Acetate,"This medication is a chemotherapy agent, prescribed for prostate cancer in patients who have received prior chemotherapy containing docetaxel. It is used either alone or with other medications (prednisone)"
Abobotulinumtoxin A Injection,"This medication is a neurotoxin, prescribed for cervical dystonia to reduce the severity of abnormal head position and neck pain. It is also used to temporarily smooth wrinkles between the eyebrows. It works by blocking the nerve signals that cause uncontrollable tightening and movement of the muscles"
Acamprosate,Acamprosate is an anti-alcoholic agent. It is used to prevent the need for alcohol in people who have stopped drinking alcohol. It reduces the desire to consume alcohol
Acarbose,"This medication is an oral alpha-glucosidase inhibitor, prescribed for type 2 diabetes with diet and exercise and in some countries for prediabetes. Acarbose works by slowing the action of certain chemicals that break down food to release glucose (sugar) into your blood"
Acebutolol,"This medication is a hydrophilic cardioselective beta-blocker with intrinsic sympathomimetic activity, prescribed for high blood pressure, and arrhythmias (abnormal rhythms of the heart). The medication relaxes blood vessels and improves blood flow"
Aceclofenac,"This medication is a nonsteroidal anti-inflammatory drug (NSAID), prescribed for fever, pain, ankylosing spondylitis and arthritis. It blocks the action of a substance in the body (cyclo-oxygenase), which may cause pain, swelling and inflammation"
Acenocoumarol,"It is an anticoagulant, prescribed for thromboembolic disorders."
Acetaminophen,"Acetaminophen is a non-opiate, analgesic and antipyretic, prescribed for headache, pain (muscle ache, backache) and fever either alone or combined with other medications"
Codeine,"Prescribed with Acetaminophen, it  contains nonopiate, non-salicylate analgesic, antipyretic and opium alkaloid, prescribed for mild to moderately severe pain, fever and cough"
Hydrocodone Bitartrate,Prescribed in with Acetaminophen and used for pain management
